i,j,dist_km
C001,C002,24.938200000000002
C001,C003,8.5122
C001,C004,22.8738
C001,C005,32.3386
C001,C006,27.674799999999998
C001,C007,16.2498
C001,C008,22.4479
C001,C009,11.8928
C001,C010,15.3824
C001,C011,1.2221
C001,C012,17.6772
C001,C013,6.6316999999999995
C001,C014,15.821399999999999
C001,C015,10.998700000000001
C001,C016,9.4777
C001,C017,6.8303
C001,C018,11.3046
C001,C019,10.713299999999998
C001,C020,16.683799999999998
C001,C021,11.3505
C001,C022,12.824200000000001
C001,C023,11.8262
C001,C024,12.2533
C001,C025,19.817400000000003
C002,C001,25.859
C002,C003,27.1324
C002,C004,4.616899999999999
C002,C005,15.7519
C002,C006,11.0881
C002,C007,9.624
C002,C008,33.5613
C002,C009,15.338899999999999
C002,C010,15.143799999999999
C002,C011,25.1403
C002,C012,12.4698
C002,C013,28.6435
C002,C014,13.235700000000001
C002,C015,21.7892
C002,C016,28.097900000000003
C002,C017,27.6472
C002,C018,25.7265
C002,C019,31.9771
C002,C020,10.929
C002,C021,18.4784
C002,C022,26.2168
C002,C023,22.6167
C002,C024,18.2765
C002,C025,30.6079
C003,C001,10.0665
C003,C002,26.618
C003,C004,24.3323
C003,C005,33.6767
C003,C006,29.012900000000002
C003,C007,17.1098
C003,C008,13.158700000000001
C003,C009,17.8602
C003,C010,16.1644
C003,C011,10.6545
C003,C012,18.4591
C003,C013,6.7383999999999995
C003,C014,16.6033
C003,C015,9.354299999999999
C003,C016,1.5745
C003,C017,5.742
C003,C018,4.2525
C003,C019,5.5421000000000005
C003,C020,17.1688
C003,C021,16.2386
C003,C022,5.4046
C003,C023,10.181799999999999
C003,C024,10.6089
C003,C025,18.173
C004,C001,21.8139
C004,C002,5.1175
C004,C003,23.708099999999998
C004,C005,13.875
C004,C006,9.211200000000002
C004,C007,5.6309
C004,C008,30.1369
C004,C009,12.3727
C004,C010,11.7195
C004,C011,21.095200000000002
C004,C012,10.7808
C004,C013,25.2192
C004,C014,12.1584
C004,C015,18.364900000000002
C004,C016,24.6735
C004,C017,24.222900000000003
C004,C018,22.3022
C004,C019,28.552799999999998
C004,C020,7.5046
C004,C021,15.977799999999998
C004,C022,22.7924
C004,C023,19.1923
C004,C024,14.8522
C004,C025,27.1836
C005,C001,26.4645
C005,C002,15.3062
C005,C003,30.8747
C005,C004,14.036
C005,C006,7.0708
C005,C007,14.546899999999999
C005,C008,39.885400000000004
C005,C009,15.5238
C005,C010,19.9155
C005,C011,25.7458
C005,C012,21.3703
C005,C013,28.2074
C005,C014,20.3545
C005,C015,28.113400000000002
C005,C016,31.8401
C005,C017,33.3494
C005,C018,32.0507
C005,C019,32.289
C005,C020,18.980700000000002
C005,C021,18.0717
C005,C022,32.5409
C005,C023,28.9408
C005,C024,24.6007
C005,C025,36.9321
C006,C001,25.1628
C006,C002,9.1995
C006,C003,24.768
C006,C004,7.929399999999999
C006,C005,10.7856
C006,C007,8.440299999999999
C006,C008,33.778800000000004
C006,C009,13.5084
C006,C010,13.8089
C006,C011,24.4441
C006,C012,15.2636
C006,C013,26.9057
C006,C014,14.2479
C006,C015,22.0068
C006,C016,25.7335
C006,C017,27.2428
C006,C018,25.9441
C006,C019,30.9872
C006,C020,12.8741
C006,C021,17.7823
C006,C022,26.4343
C006,C023,22.8342
C006,C024,18.494
C006,C025,30.8255
C007,C001,16.8392
C007,C002,8.7358
C007,C003,17.6549
C007,C004,6.671399999999999
C007,C005,16.1363
C007,C006,11.4725
C007,C008,29.7208
C007,C009,5.9966
C007,C010,8.11
C007,C011,16.1206
C007,C012,9.5647
C007,C013,18.582099999999997
C007,C014,8.5489
C007,C015,16.2421
C007,C016,18.6203
C007,C017,18.169700000000002
C007,C018,20.1794
C007,C019,22.499599999999997
C007,C020,7.1751000000000005
C007,C021,9.4587
C007,C022,20.6696
C007,C023,17.0695
C007,C024,12.729299999999999
C007,C025,25.0607
C008,C001,21.4954
C008,C002,36.1337
C008,C003,13.1645
C008,C004,33.8479
C008,C005,43.1924
C008,C006,38.5286
C008,C007,29.0272
C008,C009,29.7776
C008,C010,22.3938
C008,C011,22.083299999999998
C008,C012,25.7559
C008,C013,15.380799999999999
C008,C014,23.3639
C008,C015,15.0749
C008,C016,11.7416
C008,C017,15.139299999999999
C008,C018,10.7147
C008,C019,13.6845
C008,C020,26.6845
