i,j,time_hr
C001,C002,0.5341111111111111
C001,C003,0.2443611111111111
C001,C004,0.46305555555555555
C001,C005,0.6424722222222222
C001,C006,0.5356111111111111
C001,C007,0.3361944444444444
C001,C008,0.5639722222222222
C001,C009,0.31627777777777777
C001,C010,0.32247222222222227
C001,C011,0.03933333333333333
C001,C012,0.4023333333333334
C001,C013,0.1852222222222222
C001,C014,0.34797222222222224
C001,C015,0.25083333333333335
C001,C016,0.2509444444444444
C001,C017,0.24038888888888887
C001,C018,0.3055
C001,C019,0.27519444444444446
C001,C020,0.37038888888888893
C001,C021,0.3066388888888889
C001,C022,0.3505277777777778
C001,C023,0.2737777777777778
C001,C024,0.2957222222222222
C001,C025,0.4559722222222222
C002,C001,0.5660555555555555
C002,C003,0.5728055555555556
C002,C004,0.1411388888888889
C002,C005,0.4023055555555555
C002,C006,0.2954444444444444
C002,C007,0.29724999999999996
C002,C008,0.81575
C002,C009,0.37327777777777776
C002,C010,0.32658333333333334
C002,C011,0.5553333333333333
C002,C012,0.3202777777777778
C002,C013,0.5989722222222222
C002,C014,0.33561111111111114
C002,C015,0.4735
C002,C016,0.579388888888889
C002,C017,0.5704166666666667
C002,C018,0.5479722222222222
C002,C019,0.6548333333333334
C002,C020,0.2701111111111111
C002,C021,0.4233055555555556
C002,C022,0.5796666666666667
C002,C023,0.49644444444444447
C002,C024,0.4038611111111111
C002,C025,0.6786388888888889
C003,C001,0.24366666666666667
C003,C002,0.5258611111111111
C003,C004,0.46016666666666667
C003,C005,0.6574166666666666
C003,C006,0.5505555555555556
C003,C007,0.35575
C003,C008,0.3517777777777778
C003,C009,0.37844444444444447
C003,C010,0.2981388888888889
C003,C011,0.2618611111111111
C003,C012,0.378
C003,C013,0.14563888888888887
C003,C014,0.32363888888888886
C003,C015,0.18766666666666668
C003,C016,0.05647222222222222
C003,C017,0.11708333333333333
C003,C018,0.15572222222222223
C003,C019,0.1584722222222222
C003,C020,0.3363055555555556
C003,C021,0.3540555555555555
C003,C022,0.19891666666666669
